s,t
493,948
170,624
111,480
24,216
357,600
369,639
377,944
113,487
127,864
685,898
70,685
685,909
220,629
716,866
271,525
30,392
51,385
338,904
171,538
686,891
476,880
690,972
362,889
130,661
563,832
625,799
293,823
104,646
645,889
232,797
210,700
142,721
768,978
76,632
552,936
273,660
9,709
74,576
57,723
106,800
145,691
155,624
454,888
175,893
101,499
51,559
256,593
238,992
286,814
637,872
435,844
294,471
224,459
133,370
353,681
368,611
88,341
586,950
136,691
398,935
282,973
415,968
404,900
248,874
513,881
173,324
73,713
294,847
197,665
386,953
19,803
308,809
57,699
227,493
92,789
597,977
329,869
528,978
84,561
487,770
485,921
622,967
164,291
357,942
263,774
529,840
250,826
184,716
417,950
514,768
704,919
222,967
577,944
404,840
80,377
439,866
46,447
470,859
154,364
255,554
106,249
47,310
128,800
91,815
352,542
336,961
717,1000
46,421
137,840
329,906
295,896
295,898
27,779
724,913
169,742
307,460
256,590
295,449
286,745
33,473
19,327
118,454
321,800
169,714
212,701
85,364
131,534
381,902
475,939
250,754
214,344
566,918
269,936
19,595
222,902
111,208
274,586
64,924
365,582
338,839
592,926
315,895
8,397
184,891
7,229
346,704
228,957
110,352
186,753
435,782
19,760
493,880
560,949
104,579
664,832
174,426
370,720
437,820
92,375
232,583
536,789
232,483
431,998
105,431
457,861
155,858
214,490
229,625
98,622
601,973
335,790
355,612
541,734
123,621
4,651
149,954
351,599
117,379
439,681
15,720
471,905
317,603
508,848
16,570
363,748
21,766
98,882
246,789
123,450
79,601
294,950
518,806
182,469
78,330
219,473
357,736
260,874
209,823
311,471
53,349
559,903
73,816
511,976
90,559
80,761
185,642
229,980
25,301
29,355
184,487
212,678
32,863
348,844
347,653
377,639
323,823
211,397
409,966
106,630
53,315
691,990
451,910
74,579
444,820
343,618
608,991
241,597
519,971
231,899
21,300
408,752
286,804
95,521
261,665
180,696
210,936
98,755
356,642
310,936
288,996
303,616
274,766
206,932
712,990
222,422
267,857
130,843
163,909
284,767
437,857
304,886
384,715
135,421
325,948
344,902
203,734
172,569
242,766
65,485
102,453
114,279
136,268
391,496
21,578
331,621
312,716
117,392
223,678
208,742
648,868
376,748
570,787
338,584
639,844
563,739
323,617
196,986
404,625
432,806
87,883
400,612
570,857
341,700
216,823
13,565
104,666
113,616
354,794
158,342
367,705
713,958
295,997
174,471
178,488
366,648
395,935
338,729
158,614
21,424
545,713
484,705
28,185
150,556
463,854
660,811
535,866
298,673
321,887
353,796
275,794
105,814
148,669
832,940
289,620
48,630
314,607
327,857
127,679
233,582
112,843
126,628
437,843
557,686
468,949
88,816
208,797
318,790
338,673
159,738
139,853
278,906
369,924
609,841
433,644
14,465
549,745
90,621
73,607
267,957
652,855
371,702
369,933
151,403
132,922
114,515
298,675
270,485
433,596
163,414
32,649
329,806
35,766
295,824
670,989
249,530
60,193
461,909
228,830
333,762
133,832
332,888
344,903
212,750
113,594
133,782
329,998
235,475
443,589
82,433
435,695
612,959
172,738
136,747
94,773
428,759
105,712
34,254
559,906
125,708
227,804
140,555
182,650
163,638
124,274
228,735
331,825
59,803
59,716
165,476
527,731
314,881
193,807
730,793
3,681
123,992
787,912
167,734
375,722
519,881
389,572
415,766
73,272
6,613
172,919
125,657
401,492
87,248
297,971
313,802
142,808
150,681
360,930
381,792
650,890
338,553
49,519
124,570
229,974
88,834
236,582
415,618
145,668
335,659
119,443
204,396
302,569
528,887
442,814
316,982
296,747
595,878
421,974
351,720
308,879
181,699
540,949
292,603
25,658
47,226
390,827
283,545
494,726
493,988
326,715
555,689
78,410
279,619
225,549
4,586
263,780
247,813
141,627
232,951
543,904
239,674
477,831
5,227
715,919
92,736
466,715
53,841
227,865
288,602
217,728
442,838
122,607
294,857
448,596
423,582
104,589
509,896
304,704
142,871
119,910
282,792
93,579
295,649
648,792
145,669
600,955
326,830
227,616
657,740
229,395
705,978
526,968
305,532
705,836
405,817
121,537
462,970
303,830
3,353
406,852
106,569
663,959
66,229
283,509
79,294
690,885
148,685
151,573
160,457
747,889
345,931
154,448
2,697
33,789
38,635
545,742
142,730
787,993
607,921
264,577
373,810
135,932
174,813
447,725
204,749
238,973
640,896
131,513
361,740
280,733
195,416
259,614
385,750
81,663
658,986
529,838
89,614
320,785
162,416
450,644
427,640
221,723
84,306
80,734
107,828
265,720
468,1000
124,319
145,618
363,962
313,830
241,510
72,857
131,804
62,548
377,947
396,621
513,909
377,664
193,910
205,501
754,866
101,436
545,671
122,787
6,253
403,583
526,996
294,758
27,511
134,542
37,171
234,752
542,844
195,849
594,815
376,969
362,698
501,945
81,557
794,960
79,713
111,866
295,974
577,998
221,785
125,391
236,423
654,958
122,637
700,891
1,515
42,821
642,787
366,796
18,846
253,679
599,861
118,724
87,361
512,962
398,954
447,590
407,778
221,790
267,442
671,992
140,317
16,431
85,697
175,376
38,615
532,918
139,422
261,852
468,752
589,836
712,940
28,582
414,895
323,697
190,611
740,945
592,996
579,945
477,800
696,852
618,731
180,915
75,479
196,565
189,891
251,529
701,986
236,499
54,607
473,774
293,903
427,731
55,631
447,872
51,597
32,666
234,851
201,748
326,938
56,562
313,496
88,443
692,942
138,301
157,570
429,782
361,744
150,535
102,798
421,961
557,865
242,686
370,803
236,705
179,389
426,625
240,619
261,702
4,555
246,752
68,867
214,674
128,292
708,982
468,698
319,584
650,822
124,535
362,684
377,934
241,867
197,375
36,260
74,673
109,812
312,837
480,852
322,577
352,674
223,626
329,820
443,854
160,878
516,874
149,696
289,728
262,759
706,958
331,993
291,741
333,981
51,133
398,838
14,381
540,891
354,750
177,772
388,602
73,965
94,806
48,823
400,925
91,659
191,651
133,592
420,795
18,837
314,903
646,836
43,547
40,377
280,608
341,820
345,731
123,813
160,675
